,,,,,,,,,,,,,,,,
автор,втора,отвар,рвота,тавро,товар
аборт,борат,обрат,табор,торба
аскет,секта,сетка,стека,тесак
капор,копра,парок,порка,ропак
клоун,колун,кулон,лукно,уклон
опростить,отпросить,поострить,построить,стопорить
отсечка,сеточка,стоечка,тесачок,чесотка
адски,кидас,садик,сидка
алкать,каталь,лакать,талька
арак,арка,кара,рака
бодрить,бродить,добрить,дробить
допивать,повадить,повидать,подавить
допиваться,повадиться,повидаться,подавиться
дотирать,отдарить,отдирать,отдраить
забурить,зарубить,изрубать,изубрать
задориться,зародиться,изодраться,раздоиться
камса,макса,маска,самка
кастор,костра,строка,торакс
кафельный,кефальный,факельный,фекальный
колоть,локоть,отколь,только
корсет,окрест,сектор,стокер
корсетный,окрестный,секторный,стокерный
лапоть,лопать,пальто,поталь
нартовый,натровый,отравный,товарный
опрос,порос,просо,сопор
опроститься,отпроситься,построиться,стопориться
отпор,порто,ропот,топор
портик,портки,приток,тропик
растить,ристать,старить,стирать
рост,сорт,торс,трос
авран,варан,навар
автокар,отварка,товарка
аймак,кайма,майка
акант,канат,накат
акмеист,метиска,семитка
аконит,катион,тоника
аксон,накос,носка
акт,кат,так
актин,антик,нитка
амур,муар,мура
анкерит,кератин,креатин
анкилоз,кинозал,лозинка
антимония,антиномия,антонимия
араб,арба,раба
арап,пара,рапа
арбутин,трибуна,турбина
арго,гора,рога
аргон,онагр,орган
аргус,гарус,гусар
армячок,кормчая,морячка
атлант,талант,тантал
бакан,банка,кабан
банту,бутан,табун
бар,бра,раб
барк,брак,краб
барсук,бурсак,срубка
бодриться,добриться,дробиться
бордо,добор,добро
бурак,бурка,рубка
вакса,савка,саква
валах,халва,хвала
ведро,вроде,древо
вертеть,ветреть,втереть
вес,все,сев
весить,висеть,сиветь
вилять,влиять,вялить
вино,воин,овин
висок,сивко,совик
водить,двоить,довить
водиться,двоиться,довиться
водолей,деловой,долевой
ворон,норов,ровно
воспеть,повесть,псоветь
воспрещение,всепрощение,просвещение
вострить,встроить,створить
востро,остров,сворот
врать,рвать,тварь
вскатить,втискать,сквитать
втирать,таврить,травить
выманить,выминать,вынимать
галун,лагун,нагул
гам,маг,мга
горбик,грибок,гробик
горесть,сгореть,согреть
горка,кагор,карго
дамно,домна,номад
дарение,нереида,радение
даром,домра,морда
датировать,отдаривать,отдраивать
декор,докер,кредо
делать,дельта,деталь
дерзать,зардеть,раздеть
диктор,дротик,кордит
дожрать,дрожать,рождать
доизбрать,забродить,задобрить
докипать,покадить,покидать
долу,дуло,одул
допарить,подарить,подирать
допевать,поведать,подевать
допревать,проведать,продевать
допросить,доспорить,подсорить
допрыгать,подрыгать,подыграть
допустить,подустить,постудить
дорубить,обдурить,удобрить
досеять,одеться,содеять
дочурка,дурачок,дурочка
дрена,недра,редан
дура,руда,удар
жалеть,желать,лежать
жар,раж,ржа
забагрить,заграбить,разгибать
забривать,разбавить,разбивать
забрить,избрать,разбить
завилять,завялить,извалять
задаривать,задраивать,раздаивать
задарить,задирать,задраить
зажиливать,изжаливать,излаживать
залазить,зализать,излазать
залить,лазить,лизать
зало,зола,лоза
заломить,замолить,изломать
заманить,заминать,занимать
запонка,напоказ,пазанок
зародить,изодрать,раздоить
зароиться,озариться,озираться
испороть,опросить,оспорить
истец,ситец,ситце
исткать,скатить,тискать
истовый,ситовый,тисовый
казан,казна,наказ
канал,ланка,накал
канистра,старикан,старинка
кантор,картон,контра
каперс,парсек,скрепа
капли,липка,пилка
капля,пакля,пялка
капот,покат,топка
карат,карта,катар
каретник,катерник,кретинка
каретный,катерный,ракетный
карма,марка,рамка
карп,крап,парк
картина,натирка,тиранка
каста,такса,таска
катальня,накалять,тальянка
катить,тикать,титька
катрен,нектар,танкер
келарь,лекарь,ракель
керамит,материк,метрика
кератоз,отрезка,розетка
кипа,паки,пика
колет,леток,телок
колосок,осколок,соколок
комната,накатом,намотка
копа,опак,пока
копун,купно,купон
коран,крона,норка
корнет,кретон,ректон
корт,крот,трок
косач,сачок,часок
кот,кто,ток
котловый,лотковый,толковый
кочмара,марочка,рамочка
кошма,мокша,мошка
кошт,шкот,шток
кромсать,маркость,сморкать
круча,ручка,чурка
кулич,лучик,чулки
кумач,мучка,чумак
куприт,прутик,трупик
кутать,тукать,уткать
кутнуть,тукнуть,уткнуть
лапша,палаш,шпала
ласка,салка,скала
летом,метол,омлет
летопись,ослепить,поселить
липа,пали,пила
листок,слиток,столик
литаскоп,постилка,скаполит
литовка,локатив,отливка
лопасть,послать,слопать
лопатить,оплатить,отлипать
лотовый,толовый,тыловой
манера,марена,рамена
марочник,рамочник,романчик
марс,рамс,срам
марш,шарм,шрам
мести,метис,семит
мизерный,незримый,ремизный
милость,сломить,смолить
молотить,отломить,отмолить
монета,немота,отмена
москит,мостик,мостки
мослак,сломка,смолка
надарить,надирать,надраить
нарасти,санитар,старина
наслоить,насолить,станиоль
нирвана,равнина,рванина
нищета,тщание,щетина
носик,носки,оникс
нут,тун,унт
обострить,обстроить,отбросить
обратить,обтирать,отбирать
обратный,работный,таборный
окропить,покорить,покроить
оплавить,повалить,поливать
оправить,пировать,поварить
опт,пот,топ
орт,рот,тор
орун,руно,урон
оскал,скало,солка
ослоп,посол,сопло
ост,сот,сто
останки,остинка,скотина
отварить,отравить,тировать
отвариться,отвираться,отравиться
отвес,отсев,совет
откапать,покатать,потакать
отманить,отминать,отнимать
отоптать,оттопать,топотать
отпарить,отпирать,потирать
отпереться,перестоять,потереться
отрок,рокот,роток
отсечный,сеточный,стоечный
отучиться,очутиться,уточиться
парадокс,просадка,распадок
пасечник,песчаник,песчинка
переманить,переминать,перенимать
перс,репс,серп
персик,серпик,спикер
пласировать,просаливать,прослаивать
плис,слип,спил
повесить,повисеть,посиветь
повилять,повлиять,повялить
подварить,подвирать,продавить
подвес,подсев,совдеп
подманить,подминать,поднимать
подрубить,пробудить,продубить
поесть,потесь,сопеть
пожалеть,пожелать,полежать
пожрать,поржать,прожать
покрасить,проискать,прокисать
покрасть,порскать,скропать
поманить,поминать,понимать
порастить,постирать,растопить
портер,претор,репорт
поручить,проучить,упрочить
поручиться,проучиться,упрочиться
приманить,приминать,принимать
прут,тпру,труп
псина,синап,спина
пятак,пятка,тяпка
рагу,руга,угар
разманить,разминать,разнимать
распить,спарить,спирать
расти,сатир,триас
раут,рута,тура
росить,сорить,сроить
руна,уран,урна
свалить,славить,сливать
свалиться,славиться,сливаться
скатерть,стрекать,трескать
скатиться,скитаться,тискаться
скиф,фикс,фиск
слоевой,солевой,соловей
сманить,сминать,снимать
спрут,спурт,струп
струиться,труситься,утрястись
считка,частик,чистка
термоэлектрический,электрометрический,электротермический
торф,форт,фтор
треф,ферт,фетр
тушка,штука,шутка
уманить,уминать,унимать
абаз,база
абака,кааба
абрек,бекар
аванс,саван
авдотка,адвокат
аврал,лавра
австралопитек,ватерполистка
австриец,царствие
автол,отвал
автопарк,отправка
агнат,таган
агнец,ганец
агностик,гностика
аграф,графа
агрофизический,изографический
ад,да
адамит,диамат
адаптер,петарда
адат,дата
аденит,детина
адов,вода
адрес,среда
адский,садкий
ажурник,кнаружи
аз,за
азбука,базука
азот,зато
азу,уза
аил,али
акварелист,кавалерист
акварель,кавальер
аквилон,линовка
акр,рак
акробат,работка
акростих,хористка
аксамит,мастика
актёр,тёрка
активация,кавитация
актировать,откраивать
акустик,каустик
акустика,каустика
акустический,каустический
акут,утка
акционерный,реакционный
алеврит,левират
алжирец,жерлица
альбом,мольба
альков,коваль
альковный,вокальный
альт,таль
альтист,листать
аманат,атаман
амбар,амбра
амбре,берма
американист,арменистика
амикрон,минорка
амин,мина
амнион,аноним
ампервольтметр,вольтамперметр
ампир,прима
амплуа,ампула
ан,на
анабиоз,забоина
анаконда,канонада
ангажировать,нагораживать
ангар,нагар
ангарный,нагарный
анестезировать,заинтересовать
анзерин,зернина
анизол,лозина
анис,сани
анкер,кенар
анкилозавр,разлиновка
анод,надо
анонс,нанос
антиквар,травинка
антисептический,пантеистический
антресоли,орлеанист
аорист,сирота
аорта,отара
аортит,отиатр
апаш,паша
апельсин,спаниель
апломб,пломба
апорт,тропа
апостол,салотоп
апрош,шпора
аптечка,печатка
аптечный,печатный
арагонит,рогатина
арапник,крапина
арат,тара
арбуз,заруб
арестный,нестарый
аркан,ранка
аркбутан,бунтарка
арнаут,натура
арника,иранка
ароматный,атомарный
артист,триста
артшкола,шарлотка
арфа,фара
арча,чара
арчинец,черница
аскер,серка
астеризм,размести
астроидный,роданистый
асцит,циста
атаксит,статика
атлас,салат
атласный,салатный
атомный,мотаный
атрепсия,распятие
ату,аут
атукать,укатать
ау,уа
ауксин,кусина
ах,ха
ахромат,трахома
ахроматин,махинатор
ацетил,телица
ашуг,шуга
бабкин,бабник
багорный,богарный
багрить,грабить
багровый,грабовый
бадан,банда
базарить,забирать
бакелит,балетки
баковый,выбойка
бактриан,британка
балочный,облачный
балтиец,целибат
банить,набить
баня,баян
барак,барка
барда,брада
баржа,жабра
барий,рабий
барит,триба
баркас,карбас
барокко,коробка
барон,набор
барочный,бочарный
барс,брас
барский,рабский
барство,рабство
барствовать,рабствовать
барчук,чурбак
барыня,рабыня
басок,скоба
бастовать,обставать
батан,набат
бачок,бочка
безносый,безосный
бейсбол,бобслей
бек,кеб
бекеша,шебека
белеть,бетель
беловой,болевой
белорус,лесоруб
белотелый,облетелый
бельмо,бемоль
бережок,жеребок
беркут,курбет
берцо,борец
бетонит,бонитет
биатлонист,линобатист
бивак,вабик
бивать,вабить
било,либо
бином,обмин
бинтик,битник
бинтовой,отбивной
биолог,облиго
бирюзовый,изюбровый
бирюк,брюки
бистро,сорбит
биток,ботик
блинчатый,табличный
блоковый,лобковый
блонда,надолб
блюдолиз,лизоблюд
боа,оба
богатеть,отбегать
богатить,отгибать
богатырь,обыграть
богач,бочаг
бодать,обдать
бодаться,обдаться
бодренький,добренький
бодрый,добрый
бодряк,добряк
бодрячок,добрячок
божиться,обжиться
бокал,колба
боком,обком
бондарить,надробить
бора,роба
боронить,обронить
бортевой,ветробой
ботвинья,обвинять
ботовый,бытовой
браток,брокат
брег,герб
бриг,гриб
бриония,робиния
бродильный,дробильный
бром,ромб
бромовый,ромбовый
бросание,собрание
бросать,собрать
бросаться,собраться
брус,сруб
бугрить,грубить
будировать,обдуривать
будить,дубить
будка,дубка
будра,бурда
буерист,убрести
бук,куб
букашка,кашубка
буковый,кубовый
булка,кабул
булочный,лубочный
бурить,рубить
бурса,сабур
бурщик,рубщик
бытование,отбывание
бытовать,отбывать
бязь,зябь
вади,дива
вазелин,левизна
вазон,навоз
ваксить,квасить
валенки,великан
валет,ветла
валик,вилка
валка,лавка
валок,локва
валом,молва
вариант,травина
ватиновый,виноватый
ватник,квинта
ватрушка,травушка
ваш,вша
ввалить,вливать
ввалиться,вливаться
вверстать,встревать
вгрызаться,взыграться
вделать,владеть
вдох,вход
ведать,девать
ведомый,медовый
ведренный,невредный
веерница,вереница
везти,извет
вектор,корвет
векша,вешка
велеть,леветь
велосипедный,непоседливый
велосит,светило
вено,овен
вента,навет
вераскоп,просевка
верейка,еврейка
верес,север
верки,кивер
верность,ревность
вероника,иноверка
верста,стерва
вертеться,втереться
вертикаль,кильватер
вертикальный,кильватерный
верченый,черневый
весна,навес
весомость,восемьсот
вест,свет
вестись,свесить
вестовой,световой
весточка,качество
ветер,ветре
ветрище,вретище
ветчинка,наветчик
вечерком,времечко
вечор,чрево
вёрстка,свёртка
взводить,вздвоить
вздорожать,возрождать
взирать,развить
взывать,вызвать
вид,див
видать,давить
видаться,давиться
видный,дивный
видывать,выдавить
виляние,влияние
вина,нива
винновый,виновный
винодел,недолив
винт,твин
виола,олива
виппер,припев
витой,войти
виток,кивот
витязь,язвить
вкатиться,квитаться
вкачать,чавкать
вкинуть,кивнуть
вкоренить,кровенить
вкоротке,коверкот
влага,глава
владение,давление
влипать,плавить
влопаться,воспалять
вминать,внимать
внесметный,невместный
внове,вовне
вноска,сновка
внука,кавун
вобла,обвал
вогнутый,тунговый
водица,двоица
водомерный,модерновый
водопад,подвода
водополье,половодье
водосток,скотовод
водоток,отводок
воевать,овевать
военпред,невпроед
воз,зов
воздаться,дозваться
возжелать,возлежать
вознести,известно
возноситься,созвониться
возопить,повозить
возразить,развозить
возрастить,развитость
война,навой
войт,твой
вокалист,листовка
вол,лов
волан,волна
волокитный,китоловный
волокитство,китоловство
волос,слово
волосность,слоновость
волчанка,лавчонка
волчий,ловчий
вонзить,звонить
вонзиться,звониться
вонища,вощина
вонь,новь
вопить,повить
вор,ров
ворог,говор
воронить,норовить
воротить,отворить
воротиться,отвориться
воротный,отрывной
ворсить,сворить
ворсовать,своровать
воск,сков
воспарить,провисать
воспарять,порваться
воспитать,поставить
воспретительный,просветительный
воспретить,просветить
воспрещать,просвещать
воспрещаться,просвещаться
восторгать,сторговать
восторгаться,сторговаться
воструха,ухарство
впирать,править
вписать,спивать
вписаться,спиваться
впустить,вступить
враньё,рваньё
врата,трава
врач,рвач
вреднейший,древнейший
вредность,древность
врезывать,вызревать
время,ревмя
врывать,вырвать
врываться,вырваться
всадить,сдавить
всевать,свевать
всепрощенец,просвещенец
всеять,свеять
вскисать,сквасить
вспарить,справить
всыпать,выпасть
всяко,свояк
втираться,травиться
втискаться,сквитаться
вторить,творить
втыкать,выткать
втыкаться,выткаться
вчера,черва
выбор,обрыв
выборность,обрывность
выборочный,обрывочный
выбуравить,выбуривать
выбурить,вырубить
вывалить,выливать
вывалиться,выливаться
вывеска,высевка
вывоз,вызов
выделать,делывать
выдирать,выдраить
выдох,выход
выжарить,выжирать
вызваться,связывать
выиграть,игрывать
выискать,выкисать
выкат,тыква
выкачка,кавычка
выкрасть,скрывать
выкрасться,скрываться
выкрашивать,вышаркивать
выкроиться,исковырять
выкромсать,высморкать
выламывать,вымалывать
выламываться,вымалываться
вылом,вымол
выломить,вымолить
выломиться,вымолиться
вымазать,замывать
вымазка,замывка
вымотать,отмывать
вымотаться,отмываться
вынизать,изнывать
вынос,сынов
выносной,основный
выпарить,выпирать
выписать,писывать
выпойка,паковый
выпор,порыв
выпрашивать,вышпаривать
выпросить,выспорить
выпростать,простывать
выпустить,выступить
выразить,изрывать
выразиться,изрываться
вырастить,выстирать
вырядить,дырявить
высечка,выческа
высказать,сказывать
высказаться,сказываться
выступать,спутывать
высчитать,считывать
вытаскать,скатывать
выточка,отвычка
выхлопотать,отхлопывать
вычитать,читывать
вязанка,навязка
вяление,явление
гаврик,гривка
газолин,голизна
газон,загон
газонный,загонный
галенит,гантели
галерный,лагерный
галка,кагал
галоид,диалог
галс,глас
галунный,лагунный
гамадрил,мадригал
гамма,магма
гантель,наглеть
гарант,гранат
гарда,драга
гардина,градина
гарем,герма
гаркун,курган
гармонист,морганист
гарт,грат
гасить,сигать
гастроль,строгаль
гастрольный,строгальный
геометрический,геотермический
геометрия,геотермия
гидротерапия,дагерротипия
гимнаст,нистагм
глиома,могила
глянуть,лягнуть
гнилушка,лгунишка
гноение,гонение
гноище,огнище
гнома,манго
гнусить,сгинуть
говорной,горновой
год,дог
година,иногда
гой,йог
гол,лог
голик,логик
голод,долго
голодать,оглодать
голос,логос
голубеть,обуглеть
голубить,обуглить
гольтепа,полегать
гомон,много
гонада,донага
гондола,надолго
гораздо,загород
горал,ларго
горб,гроб
горбатая,работяга
горбатеть,отгребать
горбатость,обстрогать
горбить,гробить
горбиться,гробиться
гордячка,грядочка
горевать,огревать
гореть,огреть
горилка,рогалик
горланить,гранитоль
горлопанить,погорланить
горчинка,органчик
гост,стог
гостиный,огнистый
градировать,драгировать
гран,ранг
граната,танагра
гранит,тангир
гранитный,тангирный
графолог,логограф
гримировать,мигрировать
гроза,розга
гром,морг
грот,торг
грохотать,отгрохать
грызовой,розговый
грядиль,дрягиль
гул,луг
гусит,густи
дабы,дыба
даже,дежа
дакрон,дракон
дар,рад
дарить,драить
дарма,драма
даровать,радовать
дательный,детальный
датироваться,отдариваться
дачный,чадный
двоечка,девочка
двоечник,неводчик
двоешка,евдошка
дворец,дровец
дебри,дерби
дева,едва
девон,невод
дежурство,дружество
дек,кед
декстриновый,крестовидный
деланный,неладный
деликатный,диалектный
деловитый,ледовитый
делянка,ледянка
демон,домен
демотический,методический
дергун,недруг
дереза,резеда
дерма,дрема
дерть,рдеть
десятка,детская
десять,деться
детка,кадет
диализ,издали
дивоваться,довиваться
дина,инда
динамо,домина
динамометрический,термодинамический
динар,надир
директивный,кредитивный
директор,кредитор
директорский,кредиторский
директорша,кредиторша
диск,скид
дисковать,доквасить
диссонировать,индоссировать
дичать,чадить
для,ляд
днесь,снедь
дно,дон
до,од
добавить,добивать
добавиться,добиваться
добавок,обводка
добелить,обделить
добирать,обдирать
добираться,обдираться
довалиться,доливаться
довариться,довираться
довертеть,отвердеть
довраться,дорваться
довыборный,рыбоводный
дожарить,дожирать
дозревание,раздвоение
доиграть,оградить
доиграться,оградиться
дойна,надой
дойный,йодный
док,код
дока,кода
докапчивать,подкачивать
докатить,откидать
доковый,кодовый
доламывать,домалывать
долепить,поделить
долетать,отделать
доложить,одолжить
доложиться,одолжиться
доломить,молодить
дома,мода
доменный,немодный
доминать,донимать
домовый,дымовой
домок,комод
донец,донце
донкихот,отходник
донор,рондо
доноситель,недосолить
допереть,поредеть
дописать,посадить
доплачивать,подчаливать
доплетать,подлетать
допоить,подоить
допреть,продеть
допродать,пододрать
допроситься,доспориться
допрыгаться,подыграться
допрыгивать,подрыгивать
дорастить,достирать
дорезать,разодеть
досажать,осаждать
доска,садок
досол,солод
досолить,солодить
досолка,солодка
доспевать,подсевать
доступ,подуст
дотаивать,отдаивать
дотерпеть,подтереть
доха,хода
дочушка,чадушко
дощипать,пощадить
дояр,ядро
драка,карда
дранка,кардан
драпировать,продраивать
древесница,сердцевина
дрезина,редизна
дрек,кедр
дрок,корд
дромадер,дромедар
дуван,надув
дудак,дудка
дупель,пудель
дурашный,радушный
дурманить,намудрить
дурника,ударник
дырка,кадры
едун,неуд
еж,же
езживать,изжевать
ель,лье
ельник,никель
ендова,надвое
ер,ре
ершить,решить
ершиться,решиться
есть,сеть
ёжить,житьё
жабо,обжа
жакет,также
жако,кожа
жало,ложа
жанровый,овражный
жарка,кража
жарко,жарок
желание,лежание
желаться,лежаться
жеманиться,манежиться
жеманный,манежный
женить,нежить
жениться,нежиться
живописать,посиживать
жирок,рожки
жиропот,жиротоп
жрать,ржать
жучка,чужак
забавить,забивать
забелять,заблеять
заболеть,облезать
забор,образ
заборный,образный
заборчик,образчик
забояться,обязаться
забуриться,зарубиться
забутка,зубатка
завалить,заливать
завалиться,заливаться
завариться,завираться
заверка,каверза
заверстать,застревать
завершать,развешать
заверять,развеять
завесить,зависеть
завидеть,изведать
завлекать,заклевать
заводиться,задвоиться
завозный,зазывной
завраться,зарваться
завязить,извязать
завялиться,изваляться
загашать,зашагать
загнить,изгнать
заголиться,изолгаться
загул,лузга
задавить,издавать
задик,кзади
задираться,задраиться
задичать,зачадить
задор,зарод
задраиваться,раздаиваться
задрать,раздать
задраться,раздаться
задрожать,зарождать
заживить,изживать
зажилить,изжалить
зажинать,занижать
зажраться,разжаться
заикнуться,закинуться
закачка,казачка
закол,золка
законовед,конезавод
закопать,показать
закопаться,показаться
закрашивать,зашаркивать
закричать,зачиркать
закручиваться,закурчавиться
зал,лаз
заластить,застилать
залипать,запалить
залиться,лизаться
залом,мазло
залоснить,заслонить
залосниться,заслониться
залп,плаз
залупить,запулить
залучить,излучать
зам,маз
замаривать,размаивать
замасливать,засмаливать
замасливаться,засмаливаться
замеливать,измалевать
замер,мазер
замес,сезам
заметка,каземат
заметно,затемно
заминаться,заниматься
замирать,измарать
замок,мазок
замор,разом
замотать,отмазать
занизить,изнизать
заострить,застроить
заостриться,застроиться
запарить,запирать
запариться,запираться
запасть,заспать
запахать,захапать
заперхать,захрапеть
запить,пазить
запищать,защипать
запоминать,позанимать
запоминаться,позаниматься
запор,проза
запорка,проказа
запретный,трапезный
запросить,заспорить
запроситься,заспориться
запрудить,запудрить
запрудиться,запудриться
запустить,заступить
зараз,зраза
зарастить,застирать
зардеться,раздеться
заржаветь,разжевать
заржать,разжать
зарница,разница
заробеть,обрезать
зарок,разок
заручаться,зачураться
заручиться,разучиться
засватать,заставать
заслать,слазать
засновать,сознавать
заснять,знаться
